Origen,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,48565344,50330623,50853815,52429832,55913778,58004462,58665504,57192014,52177640,52676973,56176884,57464496,60675489,64938945,68153674,75315008,81868522,82773156
Alemania,10187614,9574615,9303289,9536621,9917619,10139582,10080606,10062629,8935147,8814070,8975236,9318737,9856687,10420411,10249204,11208656,11897376,11414481
Austria,397549,433599,415281,413118,481852,525484,489482,546060,506161,561190,579430,564068,568403,591458,,,,
Bélgica,1662930,1733815,1761867,1736388,1821667,1820777,1724409,1636636,1599004,1623375,1756695,1701782,1873388,2177818,2257702,2301628,2474720,2500278
Dinamarca,632968,597670,633559,693116,726899,806027,932132,956546,960009,937726,909515,929258,984844,1053936,,,,
Finlandia,412637,403940,381436,417617,435747,473820,512922,509103,517203,507161,574039,581777,657057,682876,,,,
Francia,6791089,8070233,7959196,7735762,8874747,9081955,9004008,8149265,7955104,8125354,8375035,8913399,9539035,10598974,11327512,11258540,11267269,11343649
Irlanda ,745778,1059058,1289080,1409062,1365078,1508159,1630335,1658899,1463913,1177253,1284168,1189278,1270197,1291395,1396066,1808469,2046123,2049272
Italia,2436022,2623167,2433979,2800709,2956891,3379001,3623091,3354251,3188147,3490352,3764818,3537932,3225360,3680944,3880691,3969322,4222865,4382503
Noruega,705922,722238,752725,743055,786763,803061,861474,952720,886830,1016339,1120269,1250357,1517706,1532907,,,,
Países Bajos,2069590,2341723,2347875,2301252,2434990,2549374,2503495,2479928,2089048,2276393,2771903,2559989,2616778,2764634,2916983,3355031,3704549,3848545
Portugal,1553354,1665830,1624450,1924154,1991916,2195904,2414562,2224304,2061516,1895574,1878087,1824878,1679814,1876367,1806384,1996164,2137880,2346405
Reino Unido,13309319,13846376,15224026,15629226,16090030,16210326,16296132,15775244,13296762,12440240,13615385,13624050,14333773,15000668,15883391,17675367,18806776,18502722
Suecia,1116507,1065368,952667,892101,916625,997998,1130057,1175260,969949,1112935,1294206,1406949,1715264,1773947,,,,
Suiza,1182279,1171065,1021533,1053695,1155491,1377407,1376470,1286725,1128182,1157485,1366663,1443610,1487427,1631797,1747463,1703481,2059201,1884783
Rusia,281028,253827,203964,251632,297794,341929,426688,509032,421993,605276,862841,1202073,1583609,1420467,959930,1004577,1150055,1222426
Resto Europa ,1534611,1605753,1530411,1701095,1935759,2101935,1920771,2235546,2225433,2549740,2291711,2194673,2364111,2536778,3595894,5026962,5543011,5980237
EE.UU.,1107591,903510,905040,894357,883523,918686,1046698,1124493,1133711,1134027,1137298,1239199,1194305,1216922,1608010,2001813,2637484,2949710
Argentina,172667,158519,176367,198327,244701,202200,217238,212547,257463,276408,306759,348102,362985,343849,,,,
Brasil,161312,139243,97392,183749,221646,256745,252061,226111,227731,241214,369909,410182,392231,440781,,,,
Canada,149894,160963,141825,125823,111854,126759,124258,151467,182604,189452,216048,260898,245218,216375,,,,
Chile,64052,58607,56614,53352,57556,75406,59845,69600,24222,17706,37671,40618,57641,61237,,,,
Mexico,174060,206524,184360,193246,244471,243018,196897,160803,216300,185740,259028,269305,262104,323247,,,,
Venezuela,130542,125651,91595,107466,123604,122274,146657,113819,27050,51229,109360,173121,149505,158567,,,,
Otros América,165179,247975,240758,322743,345495,432727,268867,338942,504679,521796,450720,381670,401068,371288,2125219,2572060,3228531,3418884
Japón,255892,228567,237391,150584,181052,255309,346047,237493,229856,332930,342979,357671,385005,475054,,,,
Resto Mundo ,1164957,932786,887135,961583,1310006,1058597,1080303,1044591,1169623,1436007,1527113,1740919,1951974,2296248,3465959,4303916,4866135,5145702
